Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
143.0425577,2.184985857,181.4840321,115.564014,180,-29.24467573
144.0425577,2.190541413,182.3565735,115.0754739,180,-29.24467573
145.0425577,2.196096969,183.229115,114.5869337,180,-29.24467573
146.0425577,2.201652524,184.1016564,114.0983935,180,-29.24467573
147.0425577,2.20720808,184.9741978,113.6098534,180,-29.24467573
148.0425577,2.212763635,185.8467392,113.1213132,180,-29.24467573
149.0425577,2.218319191,186.7192806,112.632773,180,-29.24467573
150.0425577,2.223874746,187.591822,112.1442329,180,-29.24467573
151.0425577,2.229430302,188.4643634,111.6556927,180,-29.24467573
152.0425577,2.234985857,189.3369048,111.1671526,180,-29.24467573
153.0425577,2.240541413,190.2094462,110.6786124,180,-29.24467573
154.0425577,2.246096969,191.0819876,110.1900722,180,-29.24467573
155.0425577,2.251652524,191.954529,109.7015321,180,-27.64141367
156.0213658,2.257090347,192.8216242,109.2474273,180,-24.43488955
157.0001738,2.262528169,193.7127623,108.8425347,180,-21.22836543
157.9789819,2.267965992,194.625153,108.4881219,180,-18.02184131
158.9577899,2.273403814,195.5559394,108.1852987,180,-14.8153172
159.936598,2.278841637,196.5022071,107.9350134,180,-11.60879308
160.915406,2.284279459,197.460993,107.7380495,180,-8.402268959
161.8942141,2.289717282,198.4292951,107.595024,180,3.302111068
162.9054282,2.295335138,199.4388303,107.6532707,180,-1.385680181
163.9054282,2.300890693,200.4385378,107.6290884,180,-1.385680181
164.9054282,2.306446249,201.4382454,107.6049061,180,-1.385680181
165.9054282,2.312001805,202.437953,107.5807237,180,-1.385680181
166.9054282,2.31755736,203.4376605,107.5565414,180,-1.385680181
167.9054282,2.323112916,204.4373681,107.5323591,180,-1.385680181
168.9054282,2.328668471,205.4370756,107.5081768,180,-1.385680181
169.9054282,2.334224027,206.4367832,107.4839944,180,-1.385680181
170.9054282,2.339779582,207.4364908,107.4598121,180,-1.385680181
171.9054282,2.345335138,208.4361983,107.4356298,180,-1.385680181
172.9054282,2.350890693,209.4359059,107.4114475,180,-1.385680181
173.9054282,2.356446249,210.4356135,107.3872651,180,-1.385680181
174.9054282,2.362001805,211.435321,107.3630828,180,-1.385680181
175.9054282,2.36755736,212.4350286,107.3389005,180,-1.385680181
176.9054282,2.373112916,213.4347362,107.3147182,180,-1.385680181
177.9054282,2.378668471,214.4344437,107.2905358,180,-1.385680181
178.3411119,2.381088936,214.87,107.28,180,0
179.3411119,2.386687454,215.8696012,107.2517601,177.2373989,1.381300563
180.3411119,2.392373922,216.8692023,107.2235202,174.4747977,2.762601125
181.3411119,2.398151146,217.8688035,107.1952802,171.7121966,4.143901688
182.3411119,2.404022072,218.8684047,107.1670403,168.9495955,5.525202251
183.3411119,2.409989788,219.8680059,107.1388004,166.1869944,6.906502813
184.3411119,2.416057539,220.867607,107.1105605,163.4243932,8.287803376
185.3411119,2.422228737,221.8672082,107.0823205,160.6617921,9.669103939
186.3411119,2.42850697,222.8668094,107.0540806,157.899191,11.0504045
187.3411119,2.434896016,223.8664106,107.0258407,155.1365899,12.43170506
188.3411119,2.441399857,224.8660117,106.9976008,152.3739887,13.81300563
189.3411119,2.448022694,225.8656129,106.9693609,149.6113876,15.19430619
190.3411119,2.454768963,226.8652141,106.9411209,146.8487865,16.57560675
191.3411119,2.461643352,227.8648153,106.912881,144.0861854,17.95690731
192.3411119,2.46865082,228.8644164,106.8846411,141.3235842,19.33820788
193.3411119,2.475796623,229.8640176,106.8564012,138.5609831,20.71950844
194.3411119,2.483086332,230.8636188,106.8281612,135.798382,22.100809
195.3411119,2.490525863,231.86322,106.7999213,133.0357809,23.48210957
196.3411119,2.498121503,232.8628211,106.7716814,130.2731797,24.86341013
197.3411119,2.505879944,233.8624223,106.7434415,127.5105786,26.24471069
198.3411119,2.513808317,234.8620235,106.7152015,124.7479775,27.62601125
199.3411119,2.521914234,235.8616247,106.6869616,121.9853764,29.00731182
200.3411119,2.530205827,236.8612258,106.6587217,119.2227752,30.38861238
201.3411119,2.538691804,237.860827,106.6304818,116.4601741,31.76991294
202.3411119,2.547381496,238.8604282,106.6022419,113.697573,33.1512135
203.3411119,2.556284926,239.8600293,106.5740019,110.9349719,34.53251407
204.3411119,2.565412872,240.8596305,106.545762,108.1723707,35.91381463
